Location (ns?)	Amplitude (V)
 0.10624	1526.86000
 0.07528	1534.10000
 0.13641	1538.30690
 0.11370	1548.02174
 0.10059	1558.34615
 0.10498	1570.94000
 0.10989	1594.20909
 0.10701	1603.43333
 0.13079	1614.86000
 0.08376	1623.54211
 0.12555	1634.60667
 0.10062	1647.06923
 0.12629	1664.38571
 0.10678	1672.39333
 0.09925	1680.53200
 0.12041	1693.30690
 5.29936	1711.52132
 0.12688	1723.72400
 0.09310	1752.36667
 5.18136	1765.72005
 0.10156	1783.32857
 0.16080	1795.21556
 0.17251	1812.46190
 0.11512	1824.32857
 5.12733	1836.84607
 0.12536	1863.74444
 0.13637	1869.74615
 0.12637	1904.30952
 0.14791	1914.08400
 0.12976	1935.57273
 5.26316	1955.54359
 0.11091	1971.23333
 0.10115	1982.82308
 0.13608	1992.83684
 0.09637	2003.25385
 0.09073	2005.30000
 5.29110	2020.60788
 0.11693	2036.88182
 0.12426	2054.56154
 0.14728	2065.59600
 0.11050	2076.50000
 0.08902	2084.30000
 0.09750	2087.20000
 0.10350	2089.50000
 0.10862	2091.06923
 0.09310	2104.90000
 0.14016	2117.91622
 5.28644	2132.60192
 0.08218	2143.00909
 0.08510	2144.92857
 0.09214	2152.73333
 5.04466	2165.19768
 0.12300	2176.50000
 0.13898	2191.70000
 0.09125	2200.50000
 0.10027	2202.64286
 0.12422	2208.80000
 0.12988	2224.32222
 0.14206	2235.63333
 0.11455	2253.63333
 0.10642	2257.02000
 0.16146	2266.21111
 0.10462	2276.40667
 0.10885	2281.94615
 0.10502	2292.30000
 0.09827	2312.34000
 0.11158	2325.14762
 0.10356	2334.76667
 0.10356	2339.23333
 0.13290	2353.29130
 0.10271	2367.25294
 0.09262	2372.06923
 0.08567	2399.78571
 0.09484	2411.85556
 0.08476	2413.61429
 0.12652	2431.41111
 0.08939	2439.73529
 0.08589	2441.79091
 0.09431	2448.91818
 0.11215	2463.25000
 0.13825	2480.47838
 0.10832	2488.31538
 0.10561	11.50000
 0.11961	27.31818
 0.13375	44.81515
 0.13163	59.64737
 5.35168	78.44354
 0.05578	90.23333
 0.11676	101.38571
 0.13071	107.11905
 0.10780	117.37368
 0.13675	124.50000
 0.10800	144.20526
 5.00174	164.25858
 0.12183	179.28182
 0.05907	189.30000
 0.06546	192.63333
 5.16470	203.72736
 0.10437	233.25385
 0.11852	239.58889
 0.09827	252.85556
 0.07588	255.03333
 0.13587	261.75263
 0.06752	270.63333
 0.06533	275.36667
 0.09312	280.86000
 0.09502	283.37273
 0.12269	299.70000
 0.12539	301.70000
 0.10143	320.70000
 0.10638	325.40000
 0.12593	330.70741
 0.12485	344.98000
 0.13022	346.57368
 0.11863	362.77273
 0.08342	384.14444
 0.08582	393.36667
 0.15469	403.21892
 5.04603	422.11422
 0.09529	452.10000
 0.10361	461.31818
 0.12153	471.42000
 0.10263	475.77273
 5.18583	502.84554
 0.09800	517.46667
 0.09975	527.50000
 0.08102	540.30000
 0.09476	545.44667
 0.09443	549.75714
 0.07836	562.88519
 0.09564	571.18000
 0.11778	580.58889
 0.14917	599.32222
 0.06939	626.30000
 0.07852	627.58889
 0.07400	629.50000
 5.14006	646.89624
 0.10742	675.14444
 0.10646	693.84545
 0.10474	695.90000
 0.10619	722.10000
 0.13506	743.24194
 0.12481	751.60256
 0.09425	763.50000
 0.09244	768.19231
 0.08227	778.34000
 0.08726	782.58889
 0.07830	791.00000
 0.11411	801.20370
 0.09550	810.53636
 0.10685	825.28667
 0.10087	865.15714
 5.26540	899.68933
 0.10133	924.00345
 0.09556	936.23333
 0.09994	939.21111
 0.10156	951.32857
 0.07830	961.00000
 0.09771	971.07647
 0.03486	979.70000
 5.19299	993.76775
 0.09334	1006.31176
 0.11782	1034.98000
 0.10685	1045.28667
 0.11677	1065.43043
 0.08227	1080.42381
 0.07467	1084.36667
 0.13725	1096.50000
 0.06223	1104.76667
 0.11177	1113.58421
 0.08881	1130.27143
 0.10882	1143.63913
 0.09044	1161.10000
 0.07859	1167.20000
 0.12224	1186.86000
 0.11610	1200.70000
 0.08500	1230.46000
 0.08761	1232.31818
 5.23533	1250.55768
 0.06564	1269.10000
 0.09285	1272.94615
 5.20828	1291.75686
 0.07076	1303.44667
 0.10063	1313.08182
 0.07833	1320.18000
 0.07833	1321.82000
 0.11029	1329.38571
 0.12140	1345.74211
 0.09535	1350.76667
 0.13079	1359.26471
 0.10475	1370.46522
 0.10475	1371.53478
 0.06356	1379.76667
 0.14361	1388.31818
 0.08205	1403.30000
 0.08874	1406.10000
 0.08122	1421.90000
 0.08476	1424.38571
 0.13554	1443.28537
 0.07556	1452.21200
 0.12641	1461.76000
 0.11500	1478.50000
 0.12025	1492.47241
 0.12148	1509.90000
 0.09140	1519.03333
 0.08427	1521.56667
 0.09669	1526.62381
 0.07565	1543.10000
 0.09172	1545.14800
 0.09375	1564.50000
 0.09481	1568.66000
 0.12316	1584.07333
 0.11739	1602.66970
 0.07249	1610.05000
 0.12005	1619.40000
 0.12410	1637.30000
 0.08301	1651.56667
 0.08728	1662.24286
 5.21008	1675.67997
 0.13527	1691.43600
 0.08476	1703.38571
 0.09535	1723.23333
 5.00861	1740.30797
 0.07743	1752.30000
 0.10830	1758.61034
 0.09415	1768.70000
 0.11687	1784.84286
 0.08994	1801.04286
 0.08273	1803.30000
 0.10740	1814.96667
 0.08567	1823.78571
 0.10643	1832.04667
 0.11997	1841.70571
 0.09277	1859.43043
 0.06378	1864.23333
 5.10611	1877.03554
 0.10724	1887.50000
 0.11668	1904.28462
 0.11572	1915.85200
 0.08200	1933.50000
 0.08656	1936.86000
 0.09310	1940.10000
 0.09821	1938.88824
 0.06294	1946.33077
 0.06725	1948.53200
 0.14160	1956.94444
 0.08700	1965.47143
 0.07834	1967.12857
 0.13945	1976.88710
 0.10502	1990.70000
 0.09082	1994.70000
 0.13312	2004.30000
 0.10844	2014.19231
 0.10428	2019.62308
 0.10313	2022.76667
 5.19410	2040.68991
 0.11289	2052.30000
 0.08971	2065.36154
 0.08694	2069.30000
 0.09019	2072.90000
 4.84895	2090.18950
 0.08781	2105.83333
 0.10124	2114.22000
 0.12257	2128.78000
 0.10532	2143.76154
 0.07149	2153.22000
 0.10326	2166.58889
 0.11516	2184.92667
 0.09608	2200.70000
 0.10127	2212.40588
 0.11455	2220.40588
 0.08964	2231.58571
 0.09675	2254.08947
 0.10740	2285.96667
 0.12222	2301.57368
 0.07756	2319.32857
 0.10353	2335.08667
 0.09194	2349.21111
 0.10250	2352.50000
 0.11544	2383.72400
 0.09722	2395.90000
 0.10146	2398.96667
 0.11879	2412.03333
 0.11953	2430.05294
 0.08753	2447.91333
 0.11208	2460.83684
 0.14298	2476.19412
 0.08276	2494.18889
 5.26176	 6.49130
 0.08553	20.58000
 0.10455	30.47778
 0.10747	32.10000
 0.12669	42.76667
 0.12727	54.43600
 0.13011	55.79630
 0.12801	65.33636
 0.12394	68.21111
 0.06956	80.67143
 0.11251	88.43846
 5.23117	106.59624
 0.06437	120.25385
 0.06768	122.14000
 0.08960	130.56667
 0.10752	145.36667
 0.09819	150.90000
 0.13925	167.53200
 0.10225	180.46190
 0.08939	189.26471
 0.09578	194.87778
 0.10668	198.06667
 0.14182	208.02941
 0.11904	219.94444
 0.11512	236.32857
 0.09213	254.06364
 0.11006	269.63333
 0.12462	293.93077
 0.08897	308.95714
 5.25653	329.39685
 0.13673	340.00909
 0.11736	353.25556
 5.25992	375.35891
 0.11565	387.10000
 0.12801	401.94800
 0.09382	444.02941
 0.11203	459.90000
 0.09652	467.13077
 0.10237	468.69048
 0.10381	477.83333
 0.12583	489.05652
 0.08775	500.50000
 0.13032	509.39189
 5.23484	528.58148
 0.10231	552.08182
 0.09927	563.41429
 0.05850	573.50000
 0.06504	576.42000
 0.10694	582.90000
 0.09605	592.35000
 0.13346	606.56667
 0.12679	625.03333
 0.12703	634.99524
 0.11081	648.08095
 0.08694	654.70000
 0.11002	657.43333
 0.10618	661.99091
 0.09578	664.76667
 0.15512	691.32857
 0.10350	707.75600
 0.09121	710.50000
 0.11528	720.40400
 0.09322	738.78421
 0.08859	751.26000
 0.07942	757.50000
 5.20778	770.58412
 0.12001	781.55806
 0.09355	788.70000
 0.09063	801.27778
 0.08164	804.58571
 0.08081	807.27143
 0.10281	818.34000
 0.13576	831.03548
 4.86656	843.54318
 0.10259	860.80000
 0.11588	872.71053
 0.10167	879.21429
 0.09942	881.14444
 0.10625	888.50000
 0.08752	900.94444
 0.09805	914.70000
 0.11323	929.93077
 0.10530	957.64118
 5.23817	976.45225
 0.11201	1000.45000
 0.13046	1011.69459
 0.11127	1023.43600
 5.05485	1037.07495
 0.07287	1048.59231
 0.11007	1054.06364
 0.12025	1070.52759
 0.16156	1080.13077
 0.10139	1090.14000
 5.23246	1106.57724
 0.10307	1122.12667
 0.15095	1134.70645
 0.10211	1145.20000
 0.10802	1146.60000
 0.10162	1157.12353
 0.08656	1161.14000
 0.09916	1166.07333
 0.12227	1175.57619
 0.09190	1182.16667
 0.10594	1185.01765
 0.10780	1203.37368
 0.11120	1216.19032
 0.13551	1229.45789
 5.29828	1250.52076
 0.11550	1269.84286
 0.10975	1281.50000
 0.11450	1283.18571
 0.11228	1294.62308
 0.09850	1302.18571
 0.10327	1308.02000
 0.09805	1309.26000
 0.08778	1315.12222
 0.11931	1324.62800
 0.12200	1334.53333
 0.07152	1343.94444
 0.12450	1351.50000
 0.12589	1352.79091
 0.10984	1367.64815
 0.11485	1377.28667
 0.11639	1378.90000
 0.10526	1389.45294
 0.10676	1391.18889
 0.09356	1398.67143
 0.12988	1408.32222
 0.12408	1419.62500
 0.09120	1430.16667
 0.08481	1435.30000
 0.12930	1448.59697
 0.08735	1461.23333
 0.14016	1475.12105
 0.12106	1503.17368
 0.10225	1512.46190
 0.10225	1513.53810
 0.08539	1522.70000
 0.12176	1530.42727
 0.08276	1541.18889
 0.08524	1548.22000
 0.11282	1559.14138
 0.11525	1573.46800
